file,num_processes,total_time_ms,throughput_proc_per_ms,avg_wait_ms,avg_turnaround_ms,avg_response_ms
EPexecution1.txt,1,10,0.1,0,10,0
EPexecution10.txt,3,450,0.006667,150,300,150
EPexecution11.txt,2,450,0.004444,148.5,375,75
EPexecution12.txt,2,1035,0.001932,298.5,816,298.5
EPexecution13.txt,2,206,0.009709,61,165.5,12.5
EPexecution14.txt,2,200,0.01,40,140,40
EPexecution15.txt,3,903,0.003322,410.67,717.67,183.33
EPexecution16.txt,4,900,0.004444,150,375,150
EPexecution17.txt,2,505,0.00396,75,327.5,75
EPexecution18.txt,2,400,0.005,60,380,20
EPexecution19.txt,5,1260,0.003968,578,837,415
EPexecution2.txt,1,11,0.090909,0,11,0
EPexecution20.txt,4,1150,0.003478,495,782.5,495
EPexecution3.txt,2,15,0.133333,3.5,11,3.5
EPexecution4.txt,2,14,0.142857,1.5,9.5,0
EPexecution5.txt,2,350,0.005714,98.5,273.5,98.5
EPexecution6.txt,2,350,0.005714,98.5,273.5,98.5
EPexecution7.txt,2,14,0.142857,0,11,0
EPexecution8.txt,2,350,0.005714,147,323.5,73.5
EPexecution9.txt,3,450,0.006667,147.33,297.33,147.33
,,,,,,
"CPU Bounded (Tests: 3, 5, 6, 9, 10, 12, 16, 20)",2.75,587.5,0.020993625,180.16625,391.10375,180.16625
,,,,,,
"I/O Bounded (Tests: 2, 4, 7, 8, 11, 14, 18)",1.857142857,205.5714286,0.057397286,56.71428571,178.5714286,29.78571429
,,,,,,
"Mixed CPU & I/O (Tests: 1, 13, 15, 17, 19)",2.6,576.8,0.0241918,224.934,411.534,137.166
